"Speed","Radius_big","Radius_small","Length","Pressure_1","Pressure_2","Viscosity","Kf_a","Kf_b","Kf_c","","","",""
"70.3","3.5","2.2","875.8","82.4","29.1","0.002","-9.0","0","112.2","","","",""
"36.1","1.8","0.3","870.6","155.6","82.8","0.002","-11.4","0","37.1","","","",""
"0.1","0.8","0.8","221.8","126.4","35.7","0.008","-12.8","0","8.0","","","",""
"1.4","2.3","2.0","833.5","54.9","43.4","0.003","-1.1","0","5.9","","","",""
"27.9","2.7","2.0","429.4","58.0","50.5","0.001","-8.5","0","62.3","","","",""
"16.7","2.0","0.9","752.5","144.5","42.3","0.007","-5.2","0","20.7","","","",""
"8.3","4.8","4.1","694.1","28.4","3.3","0.007","-1.3","0","30.2","","","",""
"5.2","2.3","1.4","636.1","64.2","41.8","0.005","-1.6","0","8.5","","","",""
"21.3","1.1","0.3","160.0","192.5","81.7","0.008","-20.9","0","23.0","","","",""
"3.0","0.7","0.0","484.4","82.9","31.4","0.004","-6.8","0","3.0","","","",""
"11.6","4.1","3.1","706.2","37.5","14.6","0.005","-1.5","0","26.2","","","",""
"16.2","1.4","0.6","174.8","44.2","12.8","0.005","-10.0","0","20.0","","","",""
"17891.1","4.4","0.3","234.9","103.6","37.2","0.000","-937.2","0","18005.8","","","",""
"36.4","4.3","0.9","465.0","161.8","151.5","0.003","-2.0","0","38.1","","","",""
"35.1","3.2","2.1","750.0","197.2","36.5","0.009","-6.2","0","62.0","","","",""
"2.9","1.7","0.7","389.3","22.3","14.4","0.004","-1.2","0","3.5","","","",""
"7.2","4.3","4.1","595.2","127.4","23.3","0.009","-4.8","0","88.3","","","",""
"180.3","3.9","0.8","385.8","147.5","14.3","0.007","-12.5","0","188.7","","","",""
"84.1","3.8","0.9","812.8","124.1","71.8","0.003","-6.1","0","89.6","","","",""
"11.7","2.0","0.7","325.7","86.8","49.8","0.008","-3.4","0","13.6","","","",""
"80.0","1.4","0.7","75.0","193.7","152.0","0.003","-54.9","0","106.2","","","",""
"21.1","4.6","3.6","230.1","43.1","22.2","0.008","-2.7","0","57.4","","","",""
"137.9","3.0","2.0","282.1","175.3","73.7","0.003","-26.8","0","242.7","","","",""
"95.6","2.6","0.9","179.5","35.0","14.8","0.002","-15.8","0","108.9","","","",""
"39.4","3.1","0.9","280.6","42.5","2.5","0.008","-4.5","0","43.0","","","",""
"0.4","3.1","1.7","742.6","45.4","44.3","0.007","-0.1","0","0.5","","","",""
"9.9","2.1","1.1","896.9","124.6","78.4","0.004","-3.2","0","14.1","","","",""
"5.2","1.2","0.1","582.0","187.1","156.7","0.004","-3.7","0","5.3","","","",""
"6.9","3.0","0.3","788.4","22.7","10.2","0.005","-0.8","0","7.0","","","",""
"83.4","3.5","0.3","514.7","114.2","42.6","0.005","-6.7","0","83.9","","","",""
"1.8","1.4","0.9","306.4","18.7","16.1","0.001","-1.4","0","2.9","","","",""
"12.7","0.7","0.0","231.1","141.9","78.1","0.003","-24.5","0","12.8","","","",""
"85.7","4.1","1.8","816.8","59.7","17.3","0.002","-6.3","0","106.9","","","",""
"1153.2","2.5","0.7","48.6","79.1","1.3","0.002","-201.5","0","1253.9","","","",""
"10.1","4.4","4.2","417.9","25.8","16.1","0.001","-4.9","0","94.0","","","",""
"0.0","0.2","0.1","117.8","60.0","34.2","0.009","-6.3","0","0.1","","","",""
"63.2","2.9","1.3","266.1","75.3","70.8","0.000","-9.7","0","80.5","","","",""
"0.0","0.1","0.1","818.8","188.4","161.0","0.006","-1.3","0","0.0","","","",""
